vertical,missed_call_frequency_0_5,lead_value_0_5,urgency_0_5,qualification_simplicity_0_5,owner_reachability_0_5,sales_cycle_speed_0_5,outcome_observability_0_5,low_caller_harm_0_5,telephony_feasibility_0_5,language_fit_0_5,channel_fallback_0_5,negative_modifiers,weighted_total,notes
appliance_repair,,,,,,,,,,,,,,
plumbing_electrical,,,,,,,,,,,,,,
vehicle_repair,,,,,,,,,,,,,,
